COMMANDE;CO-CLIENT;CLIENT;PLAN;Designation;QT;Prix Unitaire;Prix Total;Matière;Epaisseur;DATE CLIENT;DATE CONFIRM;ETUDE;EXPEDIER;STOCK;TRUMPH 1;SEM PROD;TPS PRODUIT L;EBAVURAGE;Orbitale;Ebav. Chants;Sup Micro attache;Tribofinition;SEM PROD;TPS PRODUIT E;PARACHEVEMENT;Perçage;Taraudage;Fraisurage;Insert;SEM PROD;TPS PRODUIT P;PLIAGE;Nbr d'Op;SEM PROD;TPS PRODUIT PL;SOUDURE MIG;SEM PROD;TPS PRODUIT S;SOUDURE TIG;SEM PROD;TPS PRODUIT S;ZINGAGE;SBG;PASSIVATION;COLOR +;IOPP;RANCE SABLAGE;AUT;CHAMPALAUNE;ALETRU;CUIVRINOX;MANCHINOX;HAVARD;PIFAUDAIS;ATMM;AUTRE SST;MISE A DISPO;TRANSPORTEUR;COMMENTAIRES;POIDS
;;EUROP SERVICE INDUSTRIE;015 TUY 105-CD027229 REP 4 DXF;;3;30.49;91.47;INOX 304 lac;5;;;;;;0.14;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;FRET;;6.04
;;EUROP SERVICE INDUSTRIE;015 TUY 201-CD027229 REP 3 DXF;;1;66.71;66.71;INOX 304 lac;5;;;;;;0.08;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;FRET;;4.6
;;EUROP SERVICE INDUSTRIE;015 TUY 202-CD027229 REP 3 DXF;;2;49.94;99.87;INOX 304 lac;5;;;;;;0.11;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;FRET;;6.91
;;EUROP SERVICE INDUSTRIE;015 TUY 103-CD027229 REP 2 FXF;;5;76.29;381.47;INOX 304 lac;6;;;;;;0.27;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;FRET;;20.68
;;EUROP SERVICE INDUSTRIE;015TUY203-102-204 REP3;;7;80.36;562.54;INOX 304 lac;6;;;;;;0.32;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;FRET;;30.98
;;EUROP SERVICE INDUSTRIE;015 TUY 104-CD027229 REP 2 DXF;;1;70.38;70.38;INOX 304 lac;6;;;;;;0.06;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;FRET;;3.78
;;EUROP SERVICE INDUSTRIE;015 TUY 105-CD027229 REP 3 DXF;;3;13.65;40.96;INOX 304 laf;2;;;;;;0.03;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;FRET;;7.17
;;EUROP SERVICE INDUSTRIE;015 TUY 201-CD027229 REP 2 DXF;;2;34.88;69.75;INOX 304 laf;2;;;;;;0.04;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;FRET;;12.57
;;EUROP SERVICE INDUSTRIE;015 TUY 202-CD027229 REP 2 DXF;;4;18.32;73.29;INOX 304 laf;2;;;;;;0.05;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;FRET;;12.98
;;EUROP SERVICE INDUSTRIE;015 TUY 203 -015 TUY 102-CD027229 REP 1 ET REP3 DXF;;6;24.23;145.4;INOX 304 laf;2;;;;;;0.11;;;0.00;;;;;;;0.00;;;;;;;0.00;;;;0.00;;;0.00;;;;;;;;;;;;;;;;;;;FRET;;25.62
